अफ्रीका	Afrique
ढाँचा:Country data Jalisco	Modèle:Country data Jalisco
ढाँचा:Country data Sinaloa	Modèle:Country data Sinaloa
ढाँचा:Country data Zacatecas	Modèle:Country data Zacatecas
ढाँचा:Country data San Luis Potosí	Modèle:Country data San Luis Potosí
ढाँचा:Country data Tlaxcala	Modèle:Country data Tlaxcala
ढाँचा:Country data Yucatán	Modèle:Country data Yucatán
ढाँचा:Country data Guanajuato	Modèle:Country data Guanajuato
ढाँचा:Country data Querétaro	Modèle:Country data Querétaro
ढाँचा:Country data México (state)	Modèle:Country data État de Mexico
ढाँचा:Country data Guerrero	Modèle:Country data Guerrero
ढाँचा:Country data Tamaulipas	Modèle:Country data Tamaulipas
ढाँचा:Country data Tabasco	Modèle:Country data Tabasco
ढाँचा:Country data Quintana Roo	Modèle:Country data Quintana Roo
ढाँचा:Country data Sonora	Modèle:Country data Sonora
श्रेणी:नेपालका एयरलाईनहरु	Catégorie:Compagnie aérienne népalaise
ढाँचा:Country data Aguascalientes	Modèle:Country data Aguascalientes
ढाँचा:Country data Campeche	Modèle:Country data Campeche
ढाँचा:Country data Chihuahua	Modèle:Country data Chihuahua
ढाँचा:Country data Chiapas	Modèle:Country data Chiapas
ढाँचा:Country data Durango	Modèle:Country data Durango
ढाँचा:Country data Baja California	Modèle:Country data Basse-Californie
ढाँचा:Country data Coahuila	Modèle:Country data Coahuila
ढाँचा:Country data Baja California Sur	Modèle:Country data Basse-Californie du Sud
ढाँचा:Country data Colima	Modèle:Country data Colima
Portal:Africa	Portail:Afrique
ढाँचा:CURRENTMINUTE	Modèle:CURRENTMINUTE
ढाँचा:User sl-1	Modèle:Utilisateur sl-1
ढाँचा:UGA	Modèle:Ouganda
श्रेणी:नेपाली चलचित्रहरू	Catégorie:Film népalais
ढाँचा:Lang-ga	Modèle:En irlandais
ढाँचा:Country data Veracruz	Modèle:Country data Veracruz
ढाँचा:Country data Puebla	Modèle:Country data Puebla
ढाँचा:Country data Morelos	Modèle:Country data Morelos
श्रेणी:उरुग्वेमा राजनैतिक दलहरू	Catégorie:Parti politique uruguayen
श्रेणी:इटालीका राजनैतिक दलहरू	Catégorie:Parti politique italien
श्रेणी:भारतका राजनीतिक दलहरू	Catégorie:Parti politique indien
श्रेणी:चिलीका राजनैतिक दलहरू	Catégorie:Parti politique chilien
श्रेणी:पानामाका राजनैतिक दलहरू	Catégorie:Parti politique panaméen
श्रेणी:पेरुमा राजनैतिक दलहरू	Catégorie:Parti politique péruvien
श्रेणी:पुएर्टो रिकोका राजनैतिक दलहरू	Catégorie:Parti politique portoricain
श्रेणी:फ्रान्सका राजनैतिक दलहरू	Catégorie:Parti politique français
श्रेणी:नेपालका राजनैतिक दलहरू	Catégorie:Parti politique népalais
श्रेणी:एल सालावाडोरका राजनैतिक दलहरू	Catégorie:Parti politique salvadorien
ढाँचा:Country data Spain	Modèle:Country data Espagne
श्रेणी:अष्ट्रीयाका राजनैतिक दलहरू	Catégorie:Parti politique autrichien
श्रेणी:नेपालमा भएका विमान दुर्घटनाहरू	Catégorie:Accident ou incident aérien au Népal
ढाँचा:User info	Modèle:Info utilisateur
ढाँचा:Country data Canada	Modèle:Country data Canada
ढाँचा:Cite pmid	Modèle:Lien PMID
सुवासचन्द्र नेम्बाङ	Subash Chandra Nemwang
ढाँचा:Col-2	Modèle:Col-2
ढाँचा:Commons-inline	Modèle:Commons-inline
ढाँचा:Conservation status	Modèle:Palette Statut de conservation
ढाँचा:Contains Arabic text	Modèle:Unicode arabe
ढाँचा:Coord/dec2dms	Modèle:Coord/dec2dms
ढाँचा:Coord/dec2dms/dms	Modèle:Coord/dec2dms/dms
ढाँचा:Coord/prec dec	Modèle:Coord/prec dec
ढाँचा:Council of Europe	Modèle:Palette Conseil de l'Europe
ढाँचा:Countries of the Americas	Modèle:Palette Pays d'Amérique
ढाँचा:देश झन्डा	Modèle:Pays
ढाँचा:Country data Ajman	Modèle:Country data Ajman
ढाँचा:Country data Anguilla	Modèle:Country data Anguilla
ढाँचा:Country data Andalusia	Modèle:Country data Andalousie
ढाँचा:Country data Aquitaine	Modèle:Country data Aquitaine
ढाँचा:Country data Aosta Valley	Modèle:Country data Vallée d'Aoste
ढाँचा:Country data Arizona	Modèle:Country data Arizona
ढाँचा:Country data Asturias	Modèle:Country data Asturies
ढाँचा:Country data Australian Capital Territory	Modèle:Country data Territoire de la capitale australienne
ढाँचा:Country data Barbados	Modèle:Country data Barbade
ढाँचा:Country data Balearic Islands	Modèle:Country data Îles Baléares
ढाँचा:Country data Bermuda	Modèle:Country data Bermudes
ढाँचा:Country data Bonaire	Modèle:Country data Bonaire
ढाँचा:Country data British Columbia	Modèle:Country data Colombie-Britannique
ढाँचा:Country data British Indian Ocean Territory	Modèle:Country data Territoire britannique de l'océan Indien
ढाँचा:Country data British Virgin Islands	Modèle:Country data Îles Vierges britanniques
ढाँचा:Country data Brittany	Modèle:Country data Bretagne
ढाँचा:Country data Burma	Modèle:Country data Birmanie
ढाँचा:Country data California	Modèle:Country data Californie
ढाँचा:Country data Canary Islands	Modèle:Country data Îles Canaries
ढाँचा:Country data Cantabria	Modèle:Country data Cantabrie
ढाँचा:Country data Castile and León	Modèle:Country data Castille-et-León
ढाँचा:Country data Castile-La Mancha	Modèle:Country data Castille-La Manche
ढाँचा:Country data Cocos (Keeling) Islands	Modèle:Country data Îles Cocos
ढाँचा:Country data Colorado	Modèle:Country data Colorado
ढाँचा:Country data Commonwealth of Independent States	Modèle:Country data Communauté des États indépendants
ढाँचा:Country data Connecticut	Modèle:Country data Connecticut
ढाँचा:Country data Curaçao	Modèle:Country data Curaçao
ढाँचा:Country data Delaware	Modèle:Country data Delaware
ढाँचा:Country data Corsica	Modèle:Country data Corse
ढाँचा:Country data Empire of Japan	Modèle:Country data Empire du Japon
ढाँचा:Country data FR Yugoslavia	Modèle:Country data République fédérale de Yougoslavie
ढाँचा:Country data Florida	Modèle:Country data Floride
ढाँचा:Country data Formosa	Modèle:Country data Province de Formosa
ढाँचा:Country data Extremadura	Modèle:Country data Estrémadure
ढाँचा:Country data Federation of Bosnia and Herzegovina	Modèle:Country data Fédération de Bosnie-et-Herzégovine
ढाँचा:Country data Fujairah	Modèle:Country data Fujaïrah
ढाँचा:Country data Galicia	Modèle:Country data Galice
ढाँचा:Country data Gibraltar	Modèle:Country data Gibraltar
ढाँचा:Country data Great Britain	Modèle:Country data Grande-Bretagne
ढाँचा:Country data Guernsey	Modèle:Country data Guernesey
ढाँचा:Country data Georgian SSR	Modèle:Country data RSS de Géorgie
ढाँचा:Country data Illinois	Modèle:Country data Illinois
ढाँचा:Country data Independent State of Croatia	Modèle:Country data État indépendant de Croatie
ढाँचा:Country data Indiana	Modèle:Country data Indiana
ढाँचा:Country data Iowa	Modèle:Country data Iowa
ढाँचा:Country data Isle of Man	Modèle:Country data Île de Man
ढाँचा:Country data Irish Free State	Modèle:Country data État libre d'Irlande
ढाँचा:Country data Jersey	Modèle:Country data Jersey
ढाँचा:Country data जोर्डन	Modèle:Country data Jordanie
ढाँचा:Country data Kansas	Modèle:Country data Kansas
ढाँचा:Country data Karelo-Finnish SSR	Modèle:Country data RSS carélo-finnoise
ढाँचा:Country data Kentucky	Modèle:Country data Kentucky
ढाँचा:Country data Kazakh SSR	Modèle:Country data RSS du Kazakhstan
ढाँचा:Country data Korea	Modèle:Country data Corée
ढाँचा:Country data Kosrae	Modèle:Country data Kosrae
ढाँचा:Country data Kyrgyzstan	Modèle:Country data Kirghizistan
ढाँचा:Country data Lesotho	Modèle:Country data Lesotho
ढाँचा:Country data La Rioja (Spain)	Modèle:Country data La Rioja
ढाँचा:Country data Liberia	Modèle:Country data Liberia
ढाँचा:Country data Maine	Modèle:Country data Maine
ढाँचा:Country data Malawi	Modèle:Country data Malawi
ढाँचा:Country data Manitoba	Modèle:Country data Manitoba
ढाँचा:Country data Maryland	Modèle:Country data Maryland
ढाँचा:Country data Massachusetts	Modèle:Country data Massachusetts
ढाँचा:Country data Michigan	Modèle:Country data Michigan
ढाँचा:Country data Martinique	Modèle:Country data Martinique
ढाँचा:Country data Melilla	Modèle:Country data Melilla
ढाँचा:Country data Minnesota	Modèle:Country data Minnesota
ढाँचा:Country data Mississippi	Modèle:Country data Mississippi
ढाँचा:Country data Missouri	Modèle:Country data Missouri
ढाँचा:Country data Mongolia	Modèle:Country data Mongolie
ढाँचा:Country data Montana	Modèle:Country data Montana
ढाँचा:Country data Nagorno-Karabakh Republic	Modèle:Country data Haut-Karabagh
ढाँचा:Country data Murcia	Modèle:Country data Région de Murcie
ढाँचा:Country data Netherlands Antilles	Modèle:Country data Antilles néerlandaises
ढाँचा:Country data Nevada	Modèle:Country data Nevada
ढाँचा:Country data New Brunswick	Modèle:Country data Nouveau-Brunswick
ढाँचा:Country data New Hampshire	Modèle:Country data New Hampshire
ढाँचा:Country data Navarre	Modèle:Country data Navarre
ढाँचा:Country data New Jersey	Modèle:Country data New Jersey
ढाँचा:Country data New Mexico	Modèle:Country data Nouveau-Mexique
ढाँचा:Country data New South Wales	Modèle:Country data Nouvelle-Galles du Sud
ढाँचा:Country data New York	Modèle:Country data New York
ढाँचा:Country data Newfoundland	Modèle:Country data Terre-Neuve
ढाँचा:Country data Newfoundland and Labrador	Modèle:Country data Terre-Neuve-et-Labrador
ढाँचा:Country data Niger	Modèle:Country data Niger
ढाँचा:Country data North Carolina	Modèle:Country data Caroline du Nord
ढाँचा:Country data North Dakota	Modèle:Country data Dakota du Nord
ढाँचा:Country data North Yemen	Modèle:Country data République arabe du Yémen
ढाँचा:Country data Northwest Territories	Modèle:Country data Territoires du Nord-Ouest
ढाँचा:Country data Nunavut	Modèle:Country data Nunavut
ढाँचा:Country data Ohio	Modèle:Country data Ohio
ढाँचा:Country data Northern Rhodesia	Modèle:Country data Rhodésie du Nord
ढाँचा:Country data Oklahoma	Modèle:Country data Oklahoma
ढाँचा:Country data Ontario	Modèle:Country data Ontario
ढाँचा:Country data Oregon	Modèle:Country data Oregon
ढाँचा:Country data Pennsylvania	Modèle:Country data Pennsylvanie
ढाँचा:Country data Prince Edward Island	Modèle:Country data Île-du-Prince-Édouard
ढाँचा:Country data Puerto Rico	Modèle:Country data Porto Rico
ढाँचा:Country data Quebec	Modèle:Country data Québec
ढाँचा:Country data Queensland	Modèle:Country data Queensland
ढाँचा:Country data Republic of Texas	Modèle:Country data République du Texas
ढाँचा:Country data Republika Srpska	Modèle:Country data République serbe de Bosnie
ढाँचा:Country data Rhode Island	Modèle:Country data Rhode Island
ढाँचा:Country data Qing Dynasty	Modèle:Country data Dynastie Qing
ढाँचा:Country data Rwanda	Modèle:Country data Rwanda
ढाँचा:Country data Réunion	Modèle:Country data La Réunion
ढाँचा:Country data Rhodesia	Modèle:Country data Rhodésie
ढाँचा:Country data SR Croatia	Modèle:Country data République socialiste de Croatie
ढाँचा:Country data Sahrawi Arab Democratic Republic	Modèle:Country data République arabe sahraouie démocratique
ढाँचा:Country data Saint Helena	Modèle:Country data Île Sainte-Hélène
ढाँचा:Country data Saint Lucia	Modèle:Country data Sainte-Lucie
ढाँचा:Country data Saskatchewan	Modèle:Country data Saskatchewan
ढाँचा:Country data Saint Pierre and Miquelon	Modèle:Country data Saint-Pierre-et-Miquelon
ढाँचा:Country data Sharjah	Modèle:Country data Charjah
ढाँचा:Country data Sierra Leone	Modèle:Country data Sierra Leone
ढाँचा:Country data Sint Maarten	Modèle:Country data Sint Maarten
ढाँचा:Country data South Dakota	Modèle:Country data Dakota du Sud
ढाँचा:Country data South Yemen	Modèle:Country data République démocratique populaire du Yémen
ढाँचा:Country data Southern Rhodesia	Modèle:Country data Rhodésie du Sud
ढाँचा:Country data Southern Ireland	Modèle:Country data Irlande du Sud
ढाँचा:Country data Suriname	Modèle:Country data Suriname
ढाँचा:Country data Syria	Modèle:Country data Syrie
ढाँचा:Country data São Tomé and Príncipe	Modèle:Country data Sao Tomé-et-Principe
ढाँचा:Country data Tasmania	Modèle:Country data Tasmanie
ढाँचा:Country data Sovereign Military Order of Malta	Modèle:Country data Ordre de Malte
ढाँचा:Country data Tennessee	Modèle:Country data Tennessee
ढाँचा:Country data Texas	Modèle:Country data Texas
ढाँचा:Country data तिब्बत	Modèle:Country data Tibet
